SKETCH version 1.7.5
Benchmark = blue_increase_equivalent_7_canonicalizer_equivalent_0_pred_raw_stateless_alu_arith_4_2_codegen_iteration_8.sk
    [0;32m[1568610593.3690 - DEBUG] Running stage 'parse' -- Parse the program from a file[0m
    [0;32m[1568610593.6660 - DEBUG] Running stage 'preproc' -- Preprocessing (used for all further transformations)[0m
    [0;32m[1568610593.8420 - DEBUG] Running stage SpmdLowLevelCStage[0m
    [0;32m[1568610593.8440 - DEBUG]    Running visitor FlattenStmtBlocks2[0m
    [0;32m[1568610593.8470 - DEBUG]    Running visitor SplitAssignFromVarDef[0m
    [0;32m[1568610593.8500 - DEBUG]    Running visitor EliminateComplexForLoops[0m
    [0;32m[1568610593.8520 - DEBUG] Running stage 'lowering' -- Lower for SKETCH backend[0m
    [0;32m[1568610593.8770 - DEBUG] Running stage 'sten' -- Stencil transformations[0m
[SATBackend] ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
[SATBackend] MAX LOOP UNROLLING = 8
[SATBackend] MAX FUNC INLINING  = 5
estimated size of main__Wrapper
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file null
searching for file null
searching for file null
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file null
searching for file null
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file null
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file null
searching for file /home/xiangyug/.sketch/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/.sketch/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file /home/xiangyug/.sketch/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file cegis/src/SketchSolver/cegis
searching for file /home/xiangyug/.sketch/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file null
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file null
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file cegis/src/SketchSolver/cegis
searching for file /home/xiangyug/.sketch/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file ../sketch-backend/bindings/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file /home/xiangyug/.sketch/cegis
searching for file /home/xiangyug/bin/cegis
searching for file /home/xiangyug/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/bindings/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file /home/xiangyug/.sketch/cegis
searching for file /home/xiangyug/bin/cegis
searching for file /home/xiangyug/bin/src/SketchSolver/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file /home/xiangyug/bin/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file /home/xiangyug/.sketch/cegis
searching for file /home/xiangyug/bin/cegis
searching for file /home/xiangyug/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.local/bin/cegis
searching for file /home/xiangyug/.local/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/bindings/cegis
searching for file /home/xiangyug/bin/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.local/bin/cegis
searching for file /home/xiangyug/.local/bin/src/SketchSolver/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file /home/xiangyug/.sketch/cegis
searching for file /home/xiangyug/bin/cegis
searching for file /home/xiangyug/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.local/bin/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/cegis
searching for file /home/xiangyug/bin/src/SketchSolver/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file /home/xiangyug/.sketch/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file ../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.sketch/cegis
searching for file /home/xiangyug/bin/cegis
searching for file /home/xiangyug/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/bindings/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/src/SketchSolver/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file /home/xiangyug/.local/bin/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file /home/xiangyug/.local/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/src/SketchSolver/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file /home/xiangyug/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file ../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file /home/xiangyug/.sketch/cegis
searching for file /home/xiangyug/bin/cegis
searching for file /home/xiangyug/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.local/bin/cegis
searching for file /home/xiangyug/.local/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/bindings/cegis
searching for file /home/xiangyug/bin/cegis
searching for file /home/xiangyug/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.local/bin/cegis
searching for file /home/xiangyug/.local/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.local/bin/cegis
searching for file /home/xiangyug/.local/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/bindings/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.sketch/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file ../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.sketch/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file ../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file /home/xiangyug/.sketch/cegis
searching for file /home/xiangyug/bin/cegis
searching for file /home/xiangyug/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/bindings/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file /home/xiangyug/.sketch/cegis
searching for file /home/xiangyug/bin/cegis
searching for file /home/xiangyug/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.local/bin/cegis
searching for file /home/xiangyug/.local/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/bindings/cegis
searching for file /home/xiangyug/bin/cegis
searching for file /home/xiangyug/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.local/bin/cegis
searching for file /home/xiangyug/.local/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/bindings/cegis
searching for file /usr/local/sbin/cegis
searching for file /usr/local/sbin/src/SketchSolver/cegis
searching for file /usr/local/sbin/../sketch-backend/src/SketchSolver/cegis
searching for file /usr/local/sbin/../sketch-backend/bindings/cegis
searching for file /usr/local/bin/cegis
searching for file /usr/local/bin/src/SketchSolver/cegis
searching for file /usr/local/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /usr/local/bin/../sketch-backend/bindings/cegis
searching for file /usr/sbin/cegis
searching for file /usr/sbin/src/SketchSolver/cegis
searching for file /usr/sbin/../sketch-backend/src/SketchSolver/cegis
searching for file /usr/sbin/../sketch-backend/bindings/cegis
searching for file /usr/bin/cegis
searching for file /usr/bin/src/SketchSolver/cegis
searching for file /usr/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /usr/bin/../sketch-backend/bindings/cegis
searching for file /sbin/cegis
searching for file /sbin/src/SketchSolver/cegis
searching for file /sbin/../sketch-backend/src/SketchSolver/cegis
searching for file /sbin/../sketch-backend/bindings/cegis
searching for file /bin/cegis
searching for file /bin/src/SketchSolver/cegis
searching for file /bin/../sketch-backend/src/SketchSolver/cegis
searching for file /bin/../sketch-backend/bindings/cegis
searching for file /usr/games/cegis
searching for file /usr/games/src/SketchSolver/cegis
searching for file /usr/games/../sketch-backend/src/SketchSolver/cegis
searching for file /usr/games/../sketch-backend/bindings/cegis
searching for file /usr/local/games/cegis
searching for file /usr/local/games/src/SketchSolver/cegis
searching for file /usr/local/games/../sketch-backend/src/SketchSolver/cegis
searching for file /usr/local/games/../sketch-backend/bindings/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/cegis
searching for file /usr/local/sketch-1.7.5/sketch-frontend/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/bindings/cegis
searching for file /home/xiangyug/bin/../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.local/bin/cegis
searching for file cegis/src/SketchSolver/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file /home/xiangyug/.sketch/cegis
searching for file /home/xiangyug/bin/cegis
searching for file /home/xiangyug/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.local/bin/cegis
searching for file /home/xiangyug/.local/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/bindings/cegis
searching for file /home/xiangyug/bin/cegis
searching for file /home/xiangyug/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.local/bin/cegis
searching for file /home/xiangyug/.local/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/bindings/cegis
searching for file /usr/local/sbin/cegis
searching for file /usr/local/sbin/src/SketchSolver/cegis
searching for file /usr/local/sbin/../sketch-backend/src/SketchSolver/cegis
searching for file /usr/local/sbin/../sketch-backend/bindings/cegis
searching for file /usr/local/bin/cegis
searching for file /usr/local/bin/src/SketchSolver/cegis
searching for file /usr/local/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /usr/local/bin/../sketch-backend/bindings/cegis
searching for file /usr/sbin/cegis
searching for file /usr/sbin/src/SketchSolver/cegis
searching for file /usr/sbin/../sketch-backend/src/SketchSolver/cegis
searching for file /usr/sbin/../sketch-backend/bindings/cegis
searching for file /usr/bin/cegis
searching for file /usr/bin/src/SketchSolver/cegis
searching for file /usr/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /usr/bin/../sketch-backend/bindings/cegis
searching for file /sbin/cegis
searching for file /sbin/src/SketchSolver/cegis
searching for file /sbin/../sketch-backend/src/SketchSolver/cegis
searching for file /sbin/../sketch-backend/bindings/cegis
searching for file /bin/cegis
searching for file /bin/src/SketchSolver/cegis
searching for file /bin/../sketch-backend/src/SketchSolver/cegis
searching for file /bin/../sketch-backend/bindings/cegis
searching for file /usr/games/cegis
searching for file ../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/cegis
searching for file /home/xiangyug/.local/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/.sketch/cegis-1.7.5
searching for file /home/xiangyug/.local/bin/../sketch-backend/bindings/cegis
searching for file ../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.sketch/cegis
searching for file /home/xiangyug/bin/cegis
searching for file /home/xiangyug/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.local/bin/cegis
searching for file /home/xiangyug/.local/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/bindings/cegis
searching for file /home/xiangyug/bin/cegis
searching for file /home/xiangyug/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/bin/../sketch-backend/bindings/cegis
searching for file /home/xiangyug/.local/bin/cegis
searching for file /home/xiangyug/.local/bin/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /home/xiangyug/.local/bin/../sketch-backend/bindings/cegis
searching for file /usr/local/sbin/cegis
searching for file /usr/local/sbin/src/SketchSolver/cegis
searching for file /usr/local/sbin/../sketch-backend/src/SketchSolver/cegis
searching for file /usr/local/sbin/../sketch-backend/bindings/cegis
searching for file /usr/local/bin/cegis
searching for file /usr/local/bin/src/SketchSolver/cegis
searching for file /usr/local/bin/../sketch-backend/src/SketchSolver/cegis
searching for file /usr/local/bin/../sketch-backend/bindings/cegis
searching for file /usr/sbin/cegis
searching for file /usr/sbin/src/SketchSolver/cegis
searching for file /usr/sbin/../sketch-backend/src/SketchSolver/cegis
searching for file /usr/sbin/../sketch-backend/bindings/cegis
